generation, cans
0, 0.800000
1, 0.900000
2, 0.950000
3, 1.090000
4, 1.450000
5, 1.510000
6, 1.670000
7, 1.810000
8, 1.980000
9, 1.740000
10, 1.800000
11, 1.640000
12, 1.790000
13, 1.920000
14, 1.860000
15, 1.910000
16, 1.990000
17, 2.080000
18, 2.550000
19, 2.210000
20, 2.370000
21, 2.350000
22, 2.760000
23, 2.580000
24, 2.900000
25, 2.900000
26, 2.940000
27, 3.410000
28, 3.420000
29, 4.350000
30, 3.930000
31, 4.120000
32, 4.370000
33, 4.300000
34, 4.380000
35, 4.320000
36, 4.300000
37, 4.570000
38, 4.530000
39, 4.710000
40, 5.130000
41, 5.230000
42, 5.450000
43, 5.620000
44, 5.440000
45, 5.690000
46, 5.510000
47, 5.930000
48, 5.750000
49, 5.910000
50, 5.590000
51, 5.800000
52, 6.100000
53, 7.100000
54, 6.750000
55, 7.000000
56, 6.740000
57, 6.800000
58, 7.160000
59, 6.940000
60, 7.060000
61, 6.980000
62, 6.370000
63, 6.500000
64, 6.310000
65, 7.030000
66, 6.530000
67, 6.390000
68, 6.890000
69, 6.230000
70, 7.030000
71, 7.800000
72, 7.380000
73, 7.360000
74, 7.650000
75, 7.560000
76, 7.680000
77, 7.610000
78, 7.720000
79, 7.380000
80, 7.810000
81, 7.480000
82, 7.900000
83, 8.100000
84, 8.160000
85, 7.950000
86, 7.940000
87, 7.610000
88, 8.140000
89, 7.600000
90, 7.510000
91, 7.480000
92, 7.350000
93, 7.150000
94, 7.080000
95, 6.950000
96, 7.070000
97, 7.110000
98, 7.490000
99, 7.120000
100, 7.210000
101, 7.570000
102, 7.810000
103, 7.280000
104, 7.620000
105, 8.100000
106, 7.730000
107, 8.070000
108, 7.910000
109, 7.660000
110, 7.930000
111, 7.990000
112, 7.640000
113, 8.450000
114, 7.720000
115, 7.670000
116, 7.370000
117, 8.080000
118, 7.920000
119, 7.710000
120, 8.150000
121, 8.080000
122, 8.050000
123, 8.080000
124, 8.090000
125, 8.160000
126, 8.050000
127, 8.020000
128, 8.280000
129, 8.450000
130, 8.260000
131, 8.460000
132, 7.990000
133, 8.240000
134, 8.760000
135, 8.320000
136, 8.310000
137, 8.350000
138, 8.490000
139, 8.270000
140, 8.190000
141, 7.960000
142, 8.000000
143, 8.060000
144, 8.570000
145, 8.340000
146, 8.210000
147, 8.100000
148, 8.100000
149, 8.020000
150, 8.050000
151, 7.950000
152, 7.910000
153, 7.850000
154, 7.760000
155, 7.540000
156, 7.640000
157, 7.740000
158, 7.480000
159, 7.530000
160, 7.760000
161, 7.780000
162, 7.730000
163, 7.880000
164, 7.620000
165, 7.840000
166, 7.720000
167, 7.520000
168, 8.030000
169, 8.270000
170, 7.760000
171, 8.070000
172, 8.020000
173, 8.250000
174, 8.060000
175, 8.670000
176, 8.500000
177, 8.290000
178, 8.360000
179, 8.230000
180, 8.270000
181, 8.100000
182, 8.190000
183, 8.530000
184, 8.070000
185, 8.310000
186, 8.450000
187, 8.470000
188, 7.850000
189, 7.820000
190, 7.700000
191, 7.870000
192, 7.950000
193, 8.020000
194, 8.190000
195, 8.310000
196, 8.090000
197, 7.930000
198, 7.910000
199, 7.960000
200, 7.570000
201, 7.830000
202, 8.100000
203, 7.650000
204, 8.220000
205, 7.880000
206, 7.770000
207, 7.740000
208, 7.800000
209, 7.440000
210, 7.990000
211, 7.490000
212, 7.670000
213, 7.700000
214, 7.980000
215, 7.940000
216, 8.080000
217, 7.690000
218, 8.040000
219, 7.770000
220, 8.050000
221, 7.920000
222, 7.860000
223, 8.090000
224, 8.020000
225, 8.110000
226, 8.120000
227, 8.080000
228, 8.160000
229, 8.190000
230, 8.120000
231, 8.170000
232, 7.840000
233, 8.030000
234, 8.120000
235, 7.920000
236, 7.940000
237, 8.140000
238, 8.190000
239, 8.100000
240, 7.870000
241, 7.830000
242, 7.850000
243, 7.960000
244, 7.600000
245, 7.700000
246, 7.300000
247, 7.750000
248, 8.090000
249, 7.610000
250, 7.650000
251, 7.800000
252, 7.620000
253, 7.440000
254, 7.340000
255, 7.470000
256, 7.630000
257, 7.610000
258, 7.240000
259, 7.700000
260, 8.060000
261, 7.830000
262, 7.600000
263, 7.920000
264, 7.650000
265, 7.760000
266, 8.060000
267, 7.840000
268, 7.630000
269, 7.830000
270, 7.990000
271, 7.840000
272, 8.220000
273, 8.010000
274, 8.030000
275, 7.910000
276, 8.230000
277, 8.190000
278, 8.230000
279, 8.000000
280, 8.000000
281, 8.200000
282, 8.200000
283, 8.050000
284, 8.340000
285, 7.880000
286, 8.200000
287, 7.950000
288, 8.080000
289, 8.340000
290, 8.210000
291, 8.230000
292, 8.530000
293, 8.310000
294, 8.390000
295, 8.200000
296, 7.830000
297, 8.070000
298, 7.920000
299, 8.000000
