generation, cans
0, 1.200000
1, 1.350000
2, 1.340000
3, 1.450000
4, 1.320000
5, 1.380000
6, 1.350000
7, 1.440000
8, 1.390000
9, 1.320000
10, 1.330000
11, 1.290000
12, 1.240000
13, 1.450000
14, 1.300000
15, 1.320000
16, 1.250000
17, 1.380000
18, 1.320000
19, 1.360000
20, 1.480000
21, 1.450000
22, 1.560000
23, 1.760000
24, 1.680000
25, 1.730000
26, 1.700000
27, 1.760000
28, 1.860000
29, 1.910000
30, 2.060000
31, 2.230000
32, 2.550000
33, 2.550000
34, 2.750000
35, 2.640000
36, 3.400000
37, 3.430000
38, 3.710000
39, 3.500000
40, 3.730000
41, 3.950000
42, 4.250000
43, 4.460000
44, 4.520000
45, 4.820000
46, 4.670000
47, 4.890000
48, 4.700000
49, 4.750000
50, 4.590000
51, 4.550000
52, 4.720000
53, 4.860000
54, 4.960000
55, 5.060000
56, 5.260000
57, 4.960000
58, 5.040000
59, 5.280000
60, 5.060000
61, 5.020000
62, 5.330000
63, 5.120000
64, 5.090000
65, 5.520000
66, 5.520000
67, 5.450000
68, 5.320000
69, 5.340000
70, 5.320000
71, 5.430000
72, 5.700000
73, 5.480000
74, 5.580000
75, 5.850000
76, 5.800000
77, 5.580000
78, 5.720000
79, 5.750000
80, 5.770000
81, 5.820000
82, 5.520000
83, 5.740000
84, 5.540000
85, 5.750000
86, 5.640000
87, 5.900000
88, 5.740000
89, 5.780000
90, 5.830000
91, 5.960000
92, 5.930000
93, 5.750000
94, 6.310000
95, 6.030000
96, 6.270000
97, 6.260000
98, 6.340000
99, 6.450000
100, 6.830000
101, 6.720000
102, 6.720000
103, 6.780000
104, 6.780000
105, 6.830000
106, 6.800000
107, 7.230000
108, 7.190000
109, 7.580000
110, 7.410000
111, 7.600000
112, 7.590000
113, 7.680000
114, 7.660000
115, 7.710000
116, 7.960000
117, 7.730000
118, 7.760000
119, 7.620000
120, 7.700000
121, 7.530000
122, 7.930000
123, 7.670000
124, 7.720000
125, 7.750000
126, 7.840000
127, 7.490000
128, 7.850000
129, 7.680000
130, 7.670000
131, 7.840000
132, 7.680000
133, 8.210000
134, 7.980000
135, 7.950000
136, 7.810000
137, 8.070000
138, 8.070000
139, 8.030000
140, 7.960000
141, 8.040000
142, 8.070000
143, 7.970000
144, 8.170000
145, 7.960000
146, 8.280000
147, 8.150000
148, 8.380000
149, 8.610000
150, 8.410000
151, 8.540000
152, 8.470000
153, 8.510000
154, 8.600000
155, 8.580000
156, 8.580000
157, 8.750000
158, 8.480000
159, 8.660000
160, 8.590000
161, 8.620000
162, 8.400000
163, 8.680000
164, 8.640000
165, 8.500000
166, 8.330000
167, 8.540000
168, 8.520000
169, 8.550000
170, 8.750000
171, 8.870000
172, 8.580000
173, 8.680000
174, 8.860000
175, 8.740000
176, 8.740000
177, 8.500000
178, 8.470000
179, 8.660000
180, 8.860000
181, 8.770000
182, 8.850000
183, 8.790000
184, 8.960000
185, 8.680000
186, 8.670000
187, 8.580000
188, 8.460000
189, 8.590000
190, 8.720000
191, 8.910000
192, 8.700000
193, 8.590000
194, 9.030000
195, 8.850000
196, 8.950000
197, 8.790000
198, 8.760000
199, 8.680000
200, 8.730000
201, 8.790000
202, 8.770000
203, 8.760000
204, 8.850000
205, 8.840000
206, 8.910000
207, 8.760000
208, 8.750000
209, 9.010000
210, 8.760000
211, 8.850000
212, 8.830000
213, 8.850000
214, 9.040000
215, 9.010000
216, 9.100000
217, 9.090000
218, 9.310000
219, 9.180000
220, 9.270000
221, 9.000000
222, 9.130000
223, 9.080000
224, 9.140000
225, 9.180000
226, 9.040000
227, 9.230000
228, 8.970000
229, 9.210000
230, 9.250000
231, 9.140000
232, 9.080000
233, 9.200000
234, 9.170000
235, 9.040000
236, 9.210000
237, 9.040000
238, 9.060000
239, 9.140000
240, 9.300000
241, 9.130000
242, 9.170000
243, 9.080000
244, 9.060000
245, 9.270000
246, 9.280000
247, 9.210000
248, 9.120000
249, 9.080000
250, 9.320000
251, 9.100000
252, 9.220000
253, 9.050000
254, 9.130000
255, 9.280000
256, 9.190000
257, 9.130000
258, 9.190000
259, 9.080000
260, 9.180000
261, 9.070000
262, 9.060000
263, 9.100000
264, 9.310000
265, 9.270000
266, 9.080000
267, 9.240000
268, 9.470000
269, 9.210000
270, 9.350000
271, 9.230000
272, 9.360000
273, 9.240000
274, 9.320000
275, 9.160000
276, 9.170000
277, 9.230000
278, 9.430000
279, 9.300000
280, 9.430000
281, 9.320000
282, 9.180000
283, 9.200000
284, 9.240000
285, 9.210000
286, 9.150000
287, 8.990000
288, 9.140000
289, 9.250000
290, 9.280000
291, 9.200000
292, 9.340000
293, 9.100000
294, 9.330000
295, 9.250000
296, 9.110000
297, 9.330000
298, 9.220000
299, 9.370000
