generation, cans
0, 1.060000
1, 1.120000
2, 1.280000
3, 1.320000
4, 1.370000
5, 1.410000
6, 1.330000
7, 1.400000
8, 1.450000
9, 1.510000
10, 1.460000
11, 1.550000
12, 1.600000
13, 1.820000
14, 1.870000
15, 1.880000
16, 1.840000
17, 2.150000
18, 2.050000
19, 2.040000
20, 2.070000
21, 1.990000
22, 2.070000
23, 2.200000
24, 2.270000
25, 2.210000
26, 2.410000
27, 2.530000
28, 2.520000
29, 2.540000
30, 2.350000
31, 2.420000
32, 2.430000
33, 2.670000
34, 2.750000
35, 2.770000
36, 2.820000
37, 2.820000
38, 2.810000
39, 3.230000
40, 3.280000
41, 3.040000
42, 3.210000
43, 3.210000
44, 3.050000
45, 2.990000
46, 3.090000
47, 3.050000
48, 3.210000
49, 3.050000
50, 2.990000
51, 3.060000
52, 3.150000
53, 3.250000
54, 3.300000
55, 3.210000
56, 3.270000
57, 3.360000
58, 3.470000
59, 3.210000
60, 3.350000
61, 3.470000
62, 3.410000
63, 3.190000
64, 3.210000
65, 3.240000
66, 3.350000
67, 3.240000
68, 3.400000
69, 3.500000
70, 3.460000
71, 3.510000
72, 3.670000
73, 4.010000
74, 3.900000
75, 4.170000
76, 4.310000
77, 4.440000
78, 4.460000
79, 4.720000
80, 4.640000
81, 4.580000
82, 4.610000
83, 5.030000
84, 4.900000
85, 4.870000
86, 5.180000
87, 5.660000
88, 6.090000
89, 6.310000
90, 6.940000
91, 6.580000
92, 6.600000
93, 6.780000
94, 6.740000
95, 6.460000
96, 6.820000
97, 6.950000
98, 7.110000
99, 7.120000
100, 7.160000
101, 6.850000
102, 7.070000
103, 7.030000
104, 7.000000
105, 7.320000
106, 7.450000
107, 7.050000
108, 6.980000
109, 7.030000
110, 7.670000
111, 8.160000
112, 7.970000
113, 8.070000
114, 7.860000
115, 8.150000
116, 8.420000
117, 8.270000
118, 8.350000
119, 8.010000
120, 8.100000
121, 8.390000
122, 8.290000
123, 8.170000
124, 8.010000
125, 8.090000
126, 8.680000
127, 8.720000
128, 9.070000
129, 8.910000
130, 9.080000
131, 9.420000
132, 9.070000
133, 9.580000
134, 9.480000
135, 9.400000
136, 9.450000
137, 9.520000
138, 9.920000
139, 9.810000
140, 9.680000
141, 9.790000
142, 9.710000
143, 9.840000
144, 9.950000
145, 10.580000
146, 10.510000
147, 11.050000
148, 10.900000
149, 10.910000
150, 10.870000
151, 11.300000
152, 11.090000
153, 11.130000
154, 11.470000
155, 11.300000
156, 11.300000
157, 11.090000
158, 11.160000
159, 11.170000
160, 11.210000
161, 11.510000
162, 11.270000
163, 11.270000
164, 11.320000
165, 11.410000
166, 11.370000
167, 11.460000
168, 11.330000
169, 11.470000
170, 11.610000
171, 11.680000
172, 11.560000
173, 11.530000
174, 11.460000
175, 11.410000
176, 11.630000
177, 11.420000
178, 11.250000
179, 11.550000
180, 11.300000
181, 11.350000
182, 11.420000
183, 11.680000
184, 11.390000
185, 11.520000
186, 11.230000
187, 11.580000
188, 11.330000
189, 11.240000
190, 11.330000
191, 11.330000
192, 11.370000
193, 11.300000
194, 11.410000
195, 11.490000
196, 11.290000
197, 11.410000
198, 11.150000
199, 11.300000
200, 11.340000
201, 11.420000
202, 11.390000
203, 11.240000
204, 11.440000
205, 11.220000
206, 11.430000
207, 11.320000
208, 11.310000
209, 11.410000
210, 11.250000
211, 11.120000
212, 11.260000
213, 11.340000
214, 11.400000
215, 11.430000
216, 11.280000
217, 11.280000
218, 11.340000
219, 11.430000
220, 11.490000
221, 11.450000
222, 11.640000
223, 11.360000
224, 11.740000
225, 11.740000
226, 11.630000
227, 11.680000
228, 11.690000
229, 11.690000
230, 11.560000
231, 11.350000
232, 11.540000
233, 11.590000
234, 11.590000
235, 11.550000
236, 11.600000
237, 11.560000
238, 11.450000
239, 11.330000
240, 11.540000
241, 11.450000
242, 11.600000
243, 11.560000
244, 11.560000
245, 11.340000
246, 11.380000
247, 11.390000
248, 11.270000
249, 11.340000
250, 11.480000
251, 11.480000
252, 11.450000
253, 11.530000
254, 11.520000
255, 11.510000
256, 11.300000
257, 11.330000
258, 11.430000
259, 11.390000
260, 11.460000
261, 11.110000
262, 11.130000
263, 11.320000
264, 11.370000
265, 11.410000
266, 11.300000
267, 11.460000
268, 11.420000
269, 11.220000
270, 11.390000
271, 11.350000
272, 11.360000
273, 11.460000
274, 11.430000
275, 11.530000
276, 11.210000
277, 11.500000
278, 11.470000
279, 11.340000
280, 11.240000
281, 11.290000
282, 11.610000
283, 11.440000
284, 11.550000
285, 11.440000
286, 11.720000
287, 11.470000
288, 11.570000
289, 11.330000
290, 11.510000
291, 11.540000
292, 11.580000
293, 11.460000
294, 11.680000
295, 11.530000
296, 11.730000
297, 11.530000
298, 11.650000
299, 11.450000
300, 11.460000
301, 11.580000
302, 11.530000
