generation, cans
0, 0.830000
1, 1.010000
2, 1.100000
3, 1.060000
4, 1.350000
5, 1.340000
6, 1.500000
7, 1.760000
8, 2.170000
9, 1.970000
10, 2.220000
11, 2.280000
12, 2.250000
13, 2.420000
14, 2.550000
15, 2.700000
16, 2.580000
17, 2.700000
18, 2.810000
19, 3.090000
20, 3.160000
21, 2.950000
22, 3.000000
23, 3.420000
24, 3.240000
25, 3.330000
26, 3.230000
27, 3.390000
28, 3.360000
29, 3.430000
30, 3.200000
31, 3.300000
32, 3.300000
33, 3.270000
34, 3.270000
35, 3.460000
36, 3.300000
37, 3.520000
38, 3.610000
39, 3.510000
40, 3.640000
41, 3.750000
42, 3.750000
43, 3.600000
44, 3.790000
45, 3.720000
46, 3.730000
47, 3.830000
48, 3.600000
49, 3.770000
50, 3.670000
51, 3.610000
52, 3.730000
53, 3.650000
54, 3.650000
55, 4.100000
56, 3.870000
57, 3.900000
58, 3.820000
59, 3.810000
60, 3.890000
61, 4.030000
62, 4.000000
63, 3.950000
64, 4.480000
65, 4.730000
66, 4.900000
67, 5.110000
68, 5.180000
69, 5.130000
70, 5.140000
71, 5.430000
72, 5.690000
73, 5.680000
74, 5.820000
75, 5.730000
76, 6.020000
77, 6.620000
78, 6.140000
79, 6.300000
80, 6.360000
81, 6.760000
82, 6.700000
83, 6.470000
84, 6.740000
85, 6.880000
86, 6.580000
87, 6.960000
88, 6.930000
89, 6.860000
90, 6.770000
91, 6.750000
92, 6.880000
93, 6.770000
94, 6.740000
95, 7.080000
96, 6.970000
97, 6.980000
98, 7.000000
99, 6.920000
100, 6.840000
101, 6.840000
102, 6.670000
103, 6.970000
104, 6.980000
105, 7.140000
106, 7.270000
107, 7.060000
108, 7.200000
109, 7.160000
110, 7.360000
111, 7.610000
112, 7.580000
113, 7.520000
114, 7.640000
115, 7.940000
116, 7.530000
117, 7.660000
118, 7.760000
119, 7.930000
120, 8.030000
121, 8.040000
122, 8.090000
123, 8.020000
124, 8.120000
125, 7.970000
126, 8.520000
127, 8.110000
128, 8.560000
129, 8.540000
130, 8.450000
131, 8.570000
132, 8.580000
133, 8.640000
134, 8.430000
135, 8.610000
136, 8.520000
137, 8.590000
138, 8.410000
139, 8.400000
140, 8.570000
141, 8.490000
142, 8.430000
143, 8.530000
144, 8.650000
145, 8.660000
146, 8.340000
147, 8.600000
148, 8.490000
149, 8.440000
150, 8.690000
151, 8.550000
152, 8.500000
153, 8.390000
154, 8.710000
155, 8.670000
156, 8.590000
157, 8.790000
158, 8.730000
159, 8.890000
160, 8.890000
161, 8.520000
162, 8.590000
163, 8.720000
164, 8.510000
165, 8.510000
166, 8.500000
167, 8.290000
168, 8.590000
169, 8.590000
170, 8.800000
171, 8.630000
172, 8.710000
173, 8.660000
174, 8.630000
175, 8.760000
176, 8.710000
177, 8.930000
178, 8.870000
179, 8.790000
180, 8.590000
181, 8.880000
182, 8.870000
183, 8.930000
184, 9.300000
185, 8.940000
186, 9.000000
187, 8.930000
188, 8.850000
189, 9.010000
190, 8.970000
191, 9.060000
192, 8.840000
193, 8.940000
194, 8.990000
195, 8.950000
196, 8.900000
197, 8.950000
198, 9.080000
199, 9.100000
200, 9.130000
201, 9.130000
202, 9.260000
203, 9.320000
204, 9.010000
205, 9.190000
206, 9.290000
207, 9.100000
208, 9.020000
209, 8.870000
210, 8.990000
211, 8.870000
212, 8.990000
213, 9.030000
214, 8.820000
215, 9.080000
216, 9.120000
217, 9.080000
218, 9.400000
219, 8.820000
220, 9.060000
221, 8.960000
222, 8.990000
223, 9.090000
224, 9.160000
225, 9.250000
226, 9.730000
227, 9.280000
228, 9.170000
229, 9.240000
230, 9.230000
231, 9.140000
232, 9.250000
233, 9.070000
234, 9.060000
235, 9.220000
236, 8.980000
237, 8.850000
238, 8.950000
239, 8.910000
240, 8.960000
241, 9.030000
242, 9.080000
243, 9.070000
244, 9.060000
245, 8.980000
246, 9.330000
247, 9.010000
248, 8.940000
249, 9.020000
250, 8.950000
251, 9.070000
252, 8.970000
253, 8.880000
254, 8.920000
255, 9.170000
256, 9.160000
257, 9.230000
258, 9.150000
259, 9.220000
260, 9.310000
261, 9.190000
262, 9.140000
263, 9.020000
264, 9.250000
265, 9.360000
266, 9.160000
267, 9.160000
268, 9.170000
269, 9.190000
270, 9.010000
271, 8.970000
272, 9.400000
273, 9.100000
274, 9.220000
275, 9.230000
276, 9.050000
277, 9.190000
278, 9.320000
279, 9.180000
280, 9.290000
281, 9.160000
282, 9.140000
283, 9.440000
284, 9.270000
285, 9.500000
286, 9.210000
287, 9.290000
288, 9.410000
289, 9.330000
290, 9.270000
291, 9.560000
292, 9.050000
293, 9.440000
294, 9.120000
295, 9.190000
296, 9.380000
297, 9.430000
298, 9.340000
299, 9.280000
